year,district_name,age,immigrants_percentage
2015,"Ciutat Vella",40-44,7.2363
2015,"Ciutat Vella",45-49,4.8609
2015,"Ciutat Vella",5-9,2.1885
2015,"Ciutat Vella",50-54,2.8593
2015,"Ciutat Vella",55-59,2.0565
2015,"Ciutat Vella",60-64,1.3857
2015,"Ciutat Vella",65-69,0.9458
2015,"Ciutat Vella",70-74,0.5829
2015,"Ciutat Vella",75-79,0.3409
2015,"Ciutat Vella",80-84,0.2309
2015,"Ciutat Vella",85-89,0.1210
2015,"Ciutat Vella",90-94,0.0440
2015,"Ciutat Vella",95-99,0.0110
2015,Eixample,>=100,0.0071
2015,Eixample,0-4,3.2098
2015,Eixample,10-14,2.2085
2015,Eixample,15-19,3.1388
2015,Eixample,20-24,12.7823
2015,Eixample,25-29,23.5336
2015,Eixample,30-34,17.2845
2015,Eixample,35-39,11.2626
2015,Eixample,40-44,6.9308
2015,Eixample,45-49,4.4454
2015,Eixample,5-9,2.2511
2015,Eixample,50-54,3.6003
2015,Eixample,55-59,2.6985
2015,Eixample,60-64,1.8818
2015,Eixample,65-69,1.7469
2015,Eixample,70-74,0.9942
2015,Eixample,75-79,0.6178
2015,Eixample,80-84,0.6462
2015,Eixample,85-89,0.4616
2015,Eixample,90-94,0.2343
2015,Eixample,95-99,0.0639
2015,Gràcia,>=100,0.0393
2015,Gràcia,0-4,3.1428
2015,Gràcia,10-14,2.0232
2015,Gràcia,15-19,3.4178
2015,Gràcia,20-24,12.0409
2015,Gràcia,25-29,23.0014
2015,Gràcia,30-34,19.4264
2015,Gràcia,35-39,11.5498
2015,Gràcia,40-44,6.7570
2015,Gràcia,45-49,4.3410
2015,Gràcia,5-9,2.3375
2015,Gràcia,50-54,3.0446
2015,Gràcia,55-59,2.4553
2015,Gràcia,60-64,1.8660
2015,Gràcia,65-69,1.8071
2015,Gràcia,70-74,0.8839
2015,Gràcia,75-79,0.4125
2015,Gràcia,80-84,0.4321
2015,Gràcia,85-89,0.6089
2015,Gràcia,90-94,0.3143
2015,Gràcia,95-99,0.0982
2015,Horta-Guinardó,>=100,0.0000
2015,Horta-Guinardó,0-4,4.1310
2015,Horta-Guinardó,10-14,3.2163
2015,Horta-Guinardó,15-19,4.3376
2015,Horta-Guinardó,20-24,10.5341
2015,Horta-Guinardó,25-29,17.4535
2015,Horta-Guinardó,30-34,15.7716
2015,Horta-Guinardó,35-39,11.2718
2015,Horta-Guinardó,40-44,7.6424
2015,Horta-Guinardó,45-49,5.8129
2015,Horta-Guinardó,5-9,3.1278
2015,Horta-Guinardó,50-54,4.5146
2015,Horta-Guinardó,55-59,3.5851
2015,Horta-Guinardó,60-64,2.4491
